date,btcusdt_close,ethusdt_close
2024-12-03,95849.69,3614.51
2024-12-04,98587.32,3837.8
2024-12-05,96945.63,3785.2
2024-12-06,99740.84,3998.87
2024-12-07,99831.99,3996.22
2024-12-08,101109.59,4004.15
2024-12-09,97276.47,3712.0
2024-12-10,96593.0,3628.25
2024-12-11,101125.0,3831.81
2024-12-12,100004.29,3881.61
2024-12-13,101424.25,3906.8
2024-12-14,101420.0,3870.29
2024-12-15,104463.99,3959.09
2024-12-16,106058.66,3986.24
2024-12-17,106133.74,3893.01
2024-12-18,100204.01,3626.8
2024-12-19,97461.86,3417.01
2024-12-20,97805.44,3472.21
2024-12-21,97291.99,3338.92
2024-12-22,95186.27,3281.83
2024-12-23,94881.47,3422.53
2024-12-24,98663.58,3493.18
2024-12-25,99429.6,3497.0
2024-12-26,95791.6,3335.05
2024-12-27,94299.03,3333.51
2024-12-28,95300.0,3404.0
2024-12-29,93738.2,3356.48
2024-12-30,92792.05,3361.84
2024-12-31,93576.0,3337.78
2025-01-01,94591.79,3360.38
2025-01-02,96984.79,3455.67
2025-01-03,98174.18,3609.01
2025-01-04,98220.5,3656.88
2025-01-05,98363.61,3635.99
2025-01-06,102235.6,3687.45
2025-01-07,96954.61,3381.31
2025-01-08,95060.61,3327.29
2025-01-09,92552.49,3219.2
2025-01-10,94726.11,3267.04
2025-01-11,94599.99,3282.83
2025-01-12,94545.06,3267.3
2025-01-13,94536.1,3137.51
2025-01-14,96560.86,3225.63
2025-01-15,100497.35,3451.52
2025-01-16,99987.3,3308.05
2025-01-17,104077.48,3473.63
2025-01-18,104556.23,3307.71
2025-01-19,101331.57,3215.12
2025-01-20,102260.01,3284.0
2025-01-21,106143.82,3327.54
2025-01-22,103706.66,3242.6
2025-01-23,103910.34,3338.21
2025-01-24,104870.5,3310.09
2025-01-25,104746.85,3318.77
2025-01-26,102620.0,3232.61
2025-01-27,102082.83,3182.44
2025-01-28,101335.52,3077.72
2025-01-29,103733.24,3113.9
2025-01-30,104722.94,3247.39
2025-01-31,102429.56,3300.99
2025-02-01,100635.65,3117.54
2025-02-02,97700.59,2869.68
2025-02-03,101328.52,2879.9
2025-02-04,97763.13,2731.19
2025-02-05,96612.43,2788.25
2025-02-06,96554.35,2686.64
2025-02-07,96506.8,2622.1
2025-02-08,96444.74,2632.46
2025-02-09,96462.75,2627.18
2025-02-10,97430.82,2661.19
2025-02-11,95778.2,2602.59
2025-02-12,97869.99,2738.27
2025-02-13,96608.14,2675.87
2025-02-14,97500.48,2725.95
2025-02-15,97569.66,2693.04
2025-02-16,96118.12,2661.41
2025-02-17,95780.0,2744.05
2025-02-18,95671.74,2671.99
2025-02-19,96644.37,2715.5
2025-02-20,98305.0,2738.04
2025-02-21,96181.98,2663.0
2025-02-22,96551.01,2763.22
2025-02-23,96258.0,2819.69
2025-02-24,91552.88,2513.52
2025-02-25,88680.4,2495.7
2025-02-26,84250.09,2336.37
2025-02-27,84708.58,2307.72
2025-02-28,84349.94,2237.59
2025-03-01,86064.53,2217.39
2025-03-02,94270.0,2518.11
2025-03-03,86220.61,2149.01
2025-03-04,87281.98,2171.51
2025-03-05,90606.01,2241.59
2025-03-06,89931.89,2202.2
2025-03-07,86801.75,2141.6
2025-03-08,86222.45,2203.58
2025-03-09,80734.37,2020.41
2025-03-10,78595.86,1865.1
2025-03-11,82932.99,1923.43
2025-03-12,83680.12,1908.2
2025-03-13,81115.78,1864.59
2025-03-14,83983.2,1911.65
2025-03-15,84338.44,1937.17
2025-03-16,82574.53,1887.0
2025-03-17,84010.03,1926.31
2025-03-18,82715.03,1931.54
2025-03-19,86845.94,2056.06
2025-03-20,84223.39,1983.79
2025-03-21,84088.79,1965.75
2025-03-22,83840.59,1980.69
2025-03-23,86082.5,2005.99
2025-03-24,87498.16,2081.2
2025-03-25,87392.87,2066.15
2025-03-26,86909.17,2009.52
2025-03-27,87232.01,2003.66
2025-03-28,84424.38,1896.9
2025-03-29,82648.54,1828.08
2025-03-30,82389.99,1807.74
2025-03-31,82550.01,1822.43
2025-04-01,85158.34,1904.98
2025-04-02,82516.29,1795.22
2025-04-03,83213.09,1817.23
2025-04-04,83889.87,1816.87
2025-04-05,83537.99,1806.01
2025-04-06,78430.0,1580.76
2025-04-07,79163.24,1553.04
2025-04-08,76322.42,1473.41
2025-04-09,82615.22,1669.51
2025-04-10,79607.3,1522.25
2025-04-11,83423.84,1566.85
2025-04-12,85276.9,1644.18
2025-04-13,83760.0,1597.76
2025-04-14,84591.58,1623.77
2025-04-15,83643.99,1588.78
2025-04-16,84030.38,1577.14
2025-04-17,84947.91,1583.62
2025-04-18,84474.69,1588.6
2025-04-19,85077.01,1613.27
2025-04-20,85179.24,1587.36
2025-04-21,87516.23,1579.57
2025-04-22,93442.99,1756.26
2025-04-23,93691.08,1795.07
2025-04-24,93980.47,1769.65
2025-04-25,94638.68,1784.6
2025-04-26,94628.0,1820.88
2025-04-27,93749.3,1791.29
2025-04-28,95011.18,1799.88
2025-04-29,94256.82,1797.81
2025-04-30,94172.0,1793.61
2025-05-01,96489.91,1838.11
2025-05-02,96887.14,1842.2
2025-05-03,95856.42,1833.52
2025-05-04,94277.62,1808.86
2025-05-05,94733.68,1820.19
2025-05-06,96834.02,1817.0
2025-05-07,97030.5,1811.11
2025-05-08,103261.6,2207.39
2025-05-09,102971.99,2345.04
2025-05-10,104809.53,2583.23
2025-05-11,104118.0,2514.57
2025-05-12,102791.32,2495.47
2025-05-13,104103.72,2679.71
2025-05-14,103507.82,2609.74
2025-05-15,103763.71,2548.69
